country,iso2c,iso3c,year,region,income,longitude,latitude,fertility,edu_upper,edu_lower,edu_tertiary,gdp,urban,female_labor,contraceptive,eys_f,gii,mmr,pr_f,log_gdp
Aruba,AW,ABW,2000,Latin America & Caribbean,High income,-70.0167,12.5167,1.845,14.75,52.9300003051758,14.75,20681.0230269625,46.717,NA,NA,NA,NA,NA,NA,9.936971796787699
Aruba,AW,ABW,2001,Latin America & Caribbean,High income,-70.0167,12.5167,1.813,16.48199996948242,53.507000350952175,14.559000015258789,20740.1325828172,46.339,NA,NA,NA,NA,NA,NA,9.939825874377222
Aruba,AW,ABW,2002,Latin America & Caribbean,High income,-70.0167,12.5167,1.8,18.21399993896484,54.08400039672854,14.36800003051758,21307.2482505267,45.972,NA,NA,NA,NA,NA,NA,9.966802587262789
Aruba,AW,ABW,2003,Latin America & Caribbean,High income,-70.0167,12.5167,1.808,19.94599990844726,54.661000442504914,14.17700004577637,21949.4859960868,45.606,NA,NA,NA,NA,NA,NA,9.996499001194364
Aruba,AW,ABW,2004,Latin America & Caribbean,High income,-70.0167,12.5167,1.819,21.67799987792968,55.23800048828128,13.98600006103516,23700.6319899197,45.24,NA,NA,NA,NA,NA,NA,10.073256993009021
Aruba,AW,ABW,2005,Latin America & Caribbean,High income,-70.0167,12.5167,1.844,23.4099998474121,55.81500053405765,13.795000076293949,24171.8371325422,44.875,NA,NA,NA,NA,NA,NA,10.092943479602644
Aruba,AW,ABW,2006,Latin America & Caribbean,High income,-70.0167,12.5167,1.862,25.14199981689452,56.392000579834026,13.60400009155274,24845.65848362,44.511,NA,NA,NA,NA,NA,NA,10.120438307352744
Aruba,AW,ABW,2007,Latin America & Caribbean,High income,-70.0167,12.5167,1.881,26.873999786376938,56.96900062561039,13.41300010681153,26736.3089444046,44.147,NA,NA,NA,NA,NA,NA,10.19377780613962
Aruba,AW,ABW,2008,Latin America & Caribbean,High income,-70.0167,12.5167,1.889,28.605999755859358,57.546000671386764,13.22200012207032,28171.9094008501,43.783,NA,NA,NA,NA,NA,NA,10.246080639931197
Aruba,AW,ABW,2009,Latin America & Caribbean,High income,-70.0167,12.5167,1.875,30.337999725341778,58.12300071716313,13.031000137329109,25134.7712303589,43.421,NA,NA,NA,NA,NA,NA,10.13200747444845
